epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4733.2,2.70821,1.54584,1.0591,0.34035,0.25848,0.2352,0.07481,2.90102,1.58312,1.05956,0.0011882,0.0011882,0.0011882
43,4830.97,2.67011,1.51396,1.04845,0.40668,0.32652,0.3147,0.10574,2.60664,1.47196,1.02881,0.0011684,0.0011684,0.0011684
44,4937.91,2.70127,1.5256,1.05687,0.38013,0.31274,0.28644,0.09238,2.69928,1.55661,1.03466,0.0011486,0.0011486,0.0011486
45,5035.47,2.70731,1.54515,1.04947,0.39011,0.31826,0.29388,0.0953,2.68995,1.51483,1.04146,0.0011288,0.0011288,0.0011288
46,5132.7,2.67623,1.51197,1.05019,0.38318,0.3158,0.29501,0.09699,2.66174,1.49332,1.03348,0.001109,0.001109,0.001109
47,5230.45,2.67554,1.51687,1.05357,0.39961,0.32373,0.30438,0.10048,2.66187,1.53329,1.03742,0.0010892,0.0010892,0.0010892
48,5328.78,2.67467,1.50465,1.0476,0.41158,0.31872,0.3124,0.10479,2.61095,1.46943,1.03375,0.0010694,0.0010694,0.0010694
49,5427.74,2.68297,1.51596,1.05375,0.36349,0.29465,0.27429,0.08912,2.73148,1.52269,1.03394,0.0010496,0.0010496,0.0010496
50,5525.08,2.68359,1.52815,1.05878,0.39852,0.32396,0.30882,0.10384,2.62858,1.47289,1.03347,0.0010298,0.0010298,0.0010298
51,5634.14,2.69548,1.50818,1.04763,0.40005,0.29173,0.28761,0.0963,2.70696,1.50825,1.03456,0.00101,0.00101,0.00101
52,5732.25,2.67274,1.49878,1.04068,0.40745,0.32689,0.31317,0.10457,2.61459,1.4652,1.0241,0.0009902,0.0009902,0.0009902
53,5830.9,2.6418,1.50479,1.05273,0.38069,0.30852,0.28603,0.09332,2.6856,1.50821,1.02883,0.0009704,0.0009704,0.0009704
54,5928.45,2.64818,1.48065,1.04523,0.41494,0.3197,0.31437,0.10607,2.63411,1.45334,1.03704,0.0009506,0.0009506,0.0009506
55,6026.7,2.65799,1.49467,1.04535,0.3908,0.31209,0.29682,0.09813,2.70407,1.48547,1.03433,0.0009308,0.0009308,0.0009308
56,6135.36,2.65622,1.48996,1.05262,0.39904,0.32025,0.30936,0.10375,2.63631,1.47465,1.02423,0.000911,0.000911,0.000911
57,6234.35,2.64213,1.49355,1.03902,0.41651,0.33203,0.32153,0.10835,2.60479,1.4564,1.02736,0.0008912,0.0008912,0.0008912
58,6331.89,2.61106,1.47789,1.05637,0.41479,0.33055,0.32409,0.10936,2.60307,1.45617,1.0223,0.0008714,0.0008714,0.0008714
59,6434.47,2.63047,1.46768,1.04371,0.38451,0.32693,0.29855,0.09585,2.68087,1.4985,1.02831,0.0008516,0.0008516,0.0008516
