epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4801.03,1.81079,1.38307,1.6544,0.59591,0.55609,0.56994,0.22861,2.02577,1.51219,1.88843,0.0012862,0.0012862,0.0012862
43,4914.55,1.79438,1.36131,1.64832,0.59032,0.56709,0.56766,0.22958,2.02957,1.50406,1.90005,0.0012562,0.0012562,0.0012562
44,5028.24,1.80156,1.35815,1.65624,0.59074,0.56485,0.56717,0.2282,2.03401,1.49606,1.89999,0.00122596,0.00122596,0.00122596
45,5142,1.79353,1.3387,1.64145,0.58893,0.56536,0.56974,0.2302,2.03278,1.48899,1.89205,0.00119551,0.00119551,0.00119551
46,5255.59,1.775,1.31324,1.62834,0.5934,0.56736,0.57267,0.23492,2.03489,1.46877,1.89501,0.00116487,0.00116487,0.00116487
47,5369.34,1.76975,1.30667,1.63068,0.60665,0.56946,0.58192,0.24037,2.01523,1.45218,1.8906,0.00113408,0.00113408,0.00113408
48,5482.78,1.75182,1.28203,1.62085,0.60852,0.57683,0.58269,0.24174,2.01642,1.44061,1.89935,0.00110317,0.00110317,0.00110317
49,5596.55,1.73954,1.25898,1.61116,0.61461,0.57269,0.58685,0.24187,2.02309,1.42659,1.89954,0.00107216,0.00107216,0.00107216
50,5709.79,1.72626,1.23384,1.59523,0.6187,0.56864,0.58797,0.24551,2.01812,1.41962,1.88852,0.0010411,0.0010411,0.0010411
51,5823.11,1.70875,1.22034,1.59051,0.62057,0.57378,0.59464,0.25175,2.00905,1.40264,1.90057,0.00101,0.00101,0.00101
52,5936.38,1.70203,1.19951,1.58178,0.60655,0.5815,0.59047,0.2471,2.01231,1.40776,1.88849,0.000978903,0.000978903,0.000978903
53,6049.46,1.69109,1.19209,1.57197,0.62047,0.5849,0.60086,0.25404,2.00544,1.38881,1.8901,0.000947837,0.000947837,0.000947837
54,6162.59,1.68022,1.17692,1.56719,0.62112,0.58697,0.60303,0.25797,2.00429,1.37193,1.89151,0.000916833,0.000916833,0.000916833
55,6275.88,1.6688,1.16367,1.55601,0.6232,0.58173,0.59927,0.25604,2.00132,1.37672,1.89516,0.00088592,0.00088592,0.00088592
56,6388.81,1.65879,1.13955,1.54736,0.61861,0.58768,0.60343,0.26038,2.00276,1.35968,1.89218,0.00085513,0.00085513,0.00085513
57,6501.99,1.6489,1.13576,1.54732,0.6278,0.58803,0.61035,0.26558,1.99056,1.34692,1.8907,0.000824492,0.000824492,0.000824492
58,6615.08,1.635,1.11527,1.53559,0.63161,0.5901,0.60805,0.2653,1.98928,1.34142,1.88439,0.000794038,0.000794038,0.000794038
59,6728.23,1.62423,1.0994,1.52371,0.62498,0.59216,0.60892,0.26677,1.99819,1.32953,1.89423,0.000763797,0.000763797,0.000763797
60,6841.52,1.61299,1.0882,1.52088,0.62804,0.59556,0.60908,0.26895,1.9816,1.33101,1.88726,0.000733799,0.000733799,0.000733799
