epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3081.42,1.85628,1.57041,1.59514,0.58357,0.54711,0.55518,0.21334,2.03567,1.60785,1.76434,0.00485566,0.00485566,0.00485566
43,3154.17,1.8503,1.56219,1.59224,0.59188,0.5405,0.56337,0.21725,2.03072,1.59788,1.76686,0.00466163,0.00466163,0.00466163
44,3226.99,1.84539,1.54578,1.58554,0.59308,0.53967,0.56182,0.21713,2.03712,1.5924,1.76893,0.00446819,0.00446819,0.00446819
45,3299.11,1.83885,1.53419,1.58275,0.59241,0.54226,0.55915,0.21724,2.038,1.58715,1.76768,0.00427565,0.00427565,0.00427565
46,3371.24,1.83381,1.51885,1.57876,0.58795,0.54571,0.56288,0.21793,2.04267,1.57068,1.77763,0.0040843,0.0040843,0.0040843
47,3444.19,1.82938,1.50968,1.5712,0.58641,0.55144,0.56554,0.21837,2.04437,1.56513,1.7595,0.00389445,0.00389445,0.00389445
48,3516.59,1.82293,1.49206,1.56251,0.58582,0.55308,0.56406,0.21838,2.05183,1.55622,1.76449,0.00370637,0.00370637,0.00370637
49,3589.53,1.81344,1.47686,1.56019,0.58495,0.55416,0.56287,0.21836,2.0511,1.56018,1.77073,0.00352037,0.00352037,0.00352037
50,3662.03,1.80787,1.47515,1.55503,0.58511,0.55472,0.56291,0.21819,2.05119,1.55428,1.7695,0.00333672,0.00333672,0.00333672
51,3734.09,1.8019,1.45687,1.55092,0.58624,0.55505,0.56454,0.21824,2.06019,1.54568,1.77728,0.00315572,0.00315572,0.00315572
52,3806.26,1.79709,1.44119,1.54385,0.59921,0.55023,0.56817,0.22073,2.06171,1.5343,1.77453,0.00297763,0.00297763,0.00297763
53,3878.92,1.79199,1.42964,1.54246,0.59468,0.55657,0.56959,0.22096,2.06536,1.52876,1.77524,0.00280275,0.00280275,0.00280275
54,3950.98,1.78621,1.42277,1.54091,0.58904,0.56146,0.56772,0.22005,2.06708,1.53111,1.78138,0.00263132,0.00263132,0.00263132
55,4023.43,1.7723,1.40416,1.52629,0.58752,0.56202,0.56711,0.21878,2.07568,1.52663,1.78466,0.00246363,0.00246363,0.00246363
56,4095.23,1.76963,1.39461,1.52616,0.58748,0.56174,0.56663,0.21834,2.07783,1.52379,1.78848,0.00229993,0.00229993,0.00229993
57,4167.79,1.7628,1.38496,1.51884,0.59315,0.55718,0.56686,0.21887,2.0756,1.52062,1.78419,0.00214046,0.00214046,0.00214046
58,4240.01,1.76019,1.37693,1.5192,0.59209,0.561,0.56782,0.21965,2.0768,1.51423,1.78661,0.00198548,0.00198548,0.00198548
59,4312.04,1.74849,1.36131,1.50749,0.59296,0.56228,0.56883,0.2197,2.07858,1.51109,1.78711,0.00183523,0.00183523,0.00183523
