epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,8701.5,0.77356,0.3706,1.04612,0.80342,0.67547,0.76146,0.50118,1.45674,0.96587,1.74976,2.61341e-05,2.61341e-05,2.61341e-05
42,8912.18,0.751,0.35705,1.03494,0.81003,0.67303,0.7624,0.50303,1.45299,0.96487,1.7488,2.17644e-05,2.17644e-05,2.17644e-05
43,9122.83,0.75114,0.35821,1.03357,0.802,0.67905,0.76287,0.50386,1.44715,0.95385,1.74724,1.7807e-05,1.7807e-05,1.7807e-05
44,9333.52,0.74266,0.35531,1.02835,0.79978,0.68039,0.76339,0.50536,1.44431,0.95486,1.74754,1.42777e-05,1.42777e-05,1.42777e-05
45,9544.74,0.73775,0.35168,1.02741,0.80991,0.6731,0.76351,0.50596,1.44122,0.95675,1.74516,1.11902e-05,1.11902e-05,1.11902e-05
46,9755.55,0.72718,0.34353,1.02001,0.80381,0.67823,0.76348,0.50691,1.44029,0.9637,1.74618,8.55676e-06,8.55676e-06,8.55676e-06
47,9966.3,0.73552,0.3495,1.02518,0.80402,0.67926,0.76292,0.50684,1.44119,0.96066,1.74959,6.38783e-06,6.38783e-06,6.38783e-06
48,10176.9,0.72912,0.34679,1.02133,0.80337,0.67847,0.76296,0.50632,1.44028,0.9607,1.74714,4.69195e-06,4.69195e-06,4.69195e-06
49,10387.9,0.723,0.34067,1.01634,0.8027,0.67958,0.76305,0.50664,1.43979,0.95891,1.74892,3.47581e-06,3.47581e-06,3.47581e-06
50,10599,0.71883,0.34062,1.01505,0.7993,0.68137,0.76307,0.50756,1.43902,0.96227,1.75127,2.74419e-06,2.74419e-06,2.74419e-06
