epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8975.77,1.49121,0.9699,1.51678,0.69059,0.63586,0.67886,0.32717,1.86372,1.18047,1.86325,0.000444716,0.000444716,0.000444716
43,9188.01,1.49412,0.96375,1.51632,0.69155,0.63883,0.68046,0.33252,1.85114,1.16357,1.86031,0.000437835,0.000437835,0.000437835
44,9400.18,1.46863,0.93703,1.5001,0.69664,0.63855,0.68332,0.3362,1.84388,1.15888,1.85732,0.000430862,0.000430862,0.000430862
45,9612.44,1.45557,0.93156,1.48649,0.69229,0.6436,0.68764,0.34274,1.83249,1.14773,1.84188,0.000423801,0.000423801,0.000423801
46,9824.91,1.44893,0.91611,1.48596,0.70238,0.64134,0.6916,0.3455,1.82205,1.13881,1.83756,0.000416657,0.000416657,0.000416657
47,10037.3,1.4359,0.90645,1.47019,0.71111,0.63918,0.69293,0.35041,1.81013,1.12098,1.82707,0.000409435,0.000409435,0.000409435
48,10249.4,1.41261,0.88252,1.45167,0.71388,0.64845,0.69886,0.35439,1.81248,1.11365,1.83348,0.000402141,0.000402141,0.000402141
49,10461.8,1.40395,0.87206,1.45257,0.7097,0.65268,0.69983,0.3584,1.79717,1.10791,1.83079,0.000394778,0.000394778,0.000394778
50,10674.1,1.38947,0.86255,1.44314,0.71876,0.6475,0.70272,0.36272,1.79011,1.0959,1.83004,0.000387353,0.000387353,0.000387353
51,10886.2,1.37321,0.85014,1.43471,0.72089,0.65224,0.70667,0.36721,1.78174,1.09099,1.82908,0.000379869,0.000379869,0.000379869
52,11098.3,1.36967,0.84906,1.43316,0.72062,0.65231,0.70482,0.3664,1.78033,1.092,1.82548,0.000372333,0.000372333,0.000372333
53,11310.1,1.35813,0.83089,1.4254,0.72438,0.65538,0.7082,0.37157,1.77453,1.07884,1.83042,0.00036475,0.00036475,0.00036475
54,11522.2,1.33612,0.81065,1.41089,0.72658,0.65748,0.71244,0.37668,1.75858,1.07045,1.82145,0.000357124,0.000357124,0.000357124
55,11734.4,1.31414,0.79291,1.40163,0.73097,0.65588,0.71459,0.38065,1.75549,1.06097,1.82558,0.000349461,0.000349461,0.000349461
56,11946.7,1.31535,0.78894,1.39195,0.73889,0.65549,0.71655,0.38255,1.75388,1.05412,1.82862,0.000341766,0.000341766,0.000341766
57,12158.9,1.30021,0.77981,1.3871,0.73116,0.65884,0.71607,0.38553,1.7386,1.04777,1.81183,0.000334045,0.000334045,0.000334045
58,12371.5,1.28735,0.7655,1.36927,0.73582,0.65973,0.72037,0.38922,1.72903,1.04352,1.80541,0.000326302,0.000326302,0.000326302
59,12583.4,1.27449,0.75962,1.3726,0.73529,0.66451,0.72263,0.39305,1.72061,1.04063,1.81043,0.000318544,0.000318544,0.000318544
60,12795.2,1.26429,0.75037,1.36345,0.74149,0.66069,0.72406,0.39516,1.71732,1.03253,1.80992,0.000310775,0.000310775,0.000310775
61,13007.1,1.25128,0.73323,1.35153,0.74565,0.65896,0.72477,0.39879,1.70973,1.03185,1.79887,0.000303,0.000303,0.000303
62,13219.3,1.24969,0.73403,1.33802,0.7448,0.6632,0.72656,0.40142,1.70625,1.0244,1.78839,0.000295225,0.000295225,0.000295225
63,13431.4,1.24052,0.73182,1.33647,0.74565,0.66401,0.72868,0.40421,1.6997,1.01709,1.78941,0.000287456,0.000287456,0.000287456
64,13643.8,1.22051,0.71119,1.32601,0.75031,0.66343,0.73096,0.40685,1.69143,1.01309,1.78708,0.000279698,0.000279698,0.000279698
65,13856.3,1.20812,0.7069,1.3228,0.75258,0.66603,0.73139,0.40913,1.68418,1.01063,1.79183,0.000271955,0.000271955,0.000271955
66,14068.6,1.20405,0.70323,1.32368,0.75669,0.66331,0.73292,0.41199,1.67717,1.01251,1.79202,0.000264234,0.000264234,0.000264234
67,14280.8,1.18325,0.67818,1.3026,0.75562,0.66614,0.7335,0.41392,1.67409,1.0103,1.78902,0.000256539,0.000256539,0.000256539
68,14493.4,1.16831,0.66932,1.29438,0.76001,0.66239,0.73444,0.41596,1.66992,1.00535,1.7924,0.000248876,0.000248876,0.000248876
69,14705.7,1.17523,0.67835,1.29874,0.75976,0.66723,0.73666,0.41964,1.66019,0.99903,1.78597,0.00024125,0.00024125,0.00024125
70,14918,1.16471,0.66935,1.29879,0.77111,0.65984,0.73772,0.42138,1.65613,0.99381,1.78519,0.000233667,0.000233667,0.000233667
71,15130.2,1.15431,0.66264,1.29344,0.76621,0.664,0.73802,0.42318,1.65004,0.99228,1.78714,0.000226131,0.000226131,0.000226131
72,15342.6,1.14164,0.65266,1.28179,0.76544,0.66306,0.7392,0.42506,1.6452,0.99054,1.78518,0.000218647,0.000218647,0.000218647
73,15555.6,1.13787,0.6488,1.28089,0.76331,0.66939,0.74025,0.42698,1.64228,0.98773,1.78447,0.000211222,0.000211222,0.000211222
74,15768,1.11608,0.63389,1.25952,0.76467,0.67286,0.74192,0.42874,1.63957,0.98279,1.7803,0.000203859,0.000203859,0.000203859
75,15980.7,1.1196,0.63237,1.26369,0.77128,0.66939,0.74286,0.43171,1.63271,0.98111,1.77667,0.000196565,0.000196565,0.000196565
76,16193.3,1.10468,0.62684,1.25135,0.7699,0.67134,0.74331,0.43369,1.62647,0.97891,1.77296,0.000189343,0.000189343,0.000189343
77,16405.9,1.08281,0.60508,1.23652,0.76775,0.67162,0.74239,0.43458,1.62509,0.97986,1.77553,0.000182199,0.000182199,0.000182199
78,16618.7,1.08156,0.60409,1.23375,0.7707,0.67187,0.74353,0.43686,1.62042,0.9783,1.77382,0.000175138,0.000175138,0.000175138
79,16831.5,1.07693,0.60674,1.23465,0.77134,0.67335,0.74474,0.43775,1.61649,0.9764,1.77451,0.000168165,0.000168165,0.000168165
80,17044,1.06515,0.59775,1.23234,0.7709,0.67437,0.74563,0.43925,1.61341,0.97531,1.77571,0.000161284,0.000161284,0.000161284
81,17256.7,1.05391,0.58938,1.2192,0.77093,0.67743,0.74707,0.44157,1.60939,0.97301,1.77357,0.0001545,0.0001545,0.0001545
82,17469.5,1.04954,0.58411,1.21185,0.77196,0.67586,0.74738,0.44319,1.60574,0.97114,1.77083,0.000147818,0.000147818,0.000147818
83,17682,1.05139,0.58777,1.2071,0.77397,0.67389,0.74738,0.44413,1.60142,0.96635,1.76507,0.000141242,0.000141242,0.000141242
84,17894.7,1.04052,0.58161,1.20226,0.77567,0.67512,0.74771,0.44583,1.59713,0.96554,1.76266,0.000134777,0.000134777,0.000134777
85,18107.7,1.02901,0.56853,1.19786,0.77509,0.67677,0.74811,0.44703,1.59265,0.96398,1.76047,0.000128428,0.000128428,0.000128428
86,18320.4,1.01266,0.5595,1.18319,0.77601,0.6758,0.74804,0.44794,1.58946,0.96385,1.75986,0.000122198,0.000122198,0.000122198
87,18533.1,1.01448,0.563,1.18493,0.77579,0.67639,0.74777,0.44931,1.58555,0.96263,1.75822,0.000116092,0.000116092,0.000116092
88,18745.8,1.01224,0.55733,1.18424,0.77535,0.67837,0.74804,0.45033,1.58318,0.96076,1.75865,0.000110114,0.000110114,0.000110114
89,18958.5,1.00113,0.55447,1.17699,0.77556,0.67873,0.74919,0.4518,1.58041,0.96012,1.75747,0.000104268,0.000104268,0.000104268
90,19171,0.99321,0.54661,1.17266,0.77458,0.67953,0.74955,0.45308,1.5787,0.95971,1.75856,9.85587e-05,9.85587e-05,9.85587e-05
91,19384,0.98945,0.54587,1.17514,0.77697,0.67884,0.74944,0.45355,1.57659,0.95873,1.75934,9.29893e-05,9.29893e-05,9.29893e-05
92,19596.9,0.97761,0.53605,1.16764,0.77795,0.6765,0.74897,0.45482,1.57357,0.95867,1.76022,8.75638e-05,8.75638e-05,8.75638e-05
93,19815.7,0.96922,0.53088,1.15945,0.7797,0.67477,0.74923,0.45555,1.57122,0.95856,1.7593,8.2286e-05,8.2286e-05,8.2286e-05
94,20027.9,0.96519,0.52968,1.15793,0.78306,0.67425,0.75012,0.45651,1.5688,0.95785,1.75908,7.71594e-05,7.71594e-05,7.71594e-05
95,20240.2,0.95953,0.52623,1.155,0.78729,0.67158,0.75004,0.45719,1.56677,0.95691,1.75947,7.21876e-05,7.21876e-05,7.21876e-05
96,20452.6,0.94831,0.5163,1.14133,0.78648,0.67165,0.75019,0.45797,1.564,0.95637,1.75787,6.73741e-05,6.73741e-05,6.73741e-05
97,20664.7,0.94407,0.51597,1.14362,0.78697,0.67255,0.7505,0.45898,1.56201,0.9564,1.75776,6.2722e-05,6.2722e-05,6.2722e-05
98,20876.7,0.9455,0.51891,1.14619,0.78388,0.67448,0.75073,0.45963,1.56008,0.95654,1.75749,5.82345e-05,5.82345e-05,5.82345e-05
99,21089,0.9365,0.51124,1.14066,0.78527,0.67316,0.75072,0.46019,1.55836,0.95644,1.75733,5.39148e-05,5.39148e-05,5.39148e-05
100,21301.5,0.93324,0.50807,1.1363,0.78471,0.67533,0.75128,0.46075,1.55672,0.95645,1.75718,4.97659e-05,4.97659e-05,4.97659e-05
101,21513.9,0.92661,0.50596,1.13101,0.78524,0.67469,0.75133,0.46162,1.5546,0.95644,1.7563,4.57905e-05,4.57905e-05,4.57905e-05
102,21726.1,0.92356,0.50249,1.13345,0.78248,0.67636,0.75147,0.46166,1.55298,0.9566,1.75627,4.19913e-05,4.19913e-05,4.19913e-05
103,21938.8,0.91968,0.4995,1.1314,0.78247,0.67657,0.75154,0.46216,1.55191,0.95626,1.75679,3.83711e-05,3.83711e-05,3.83711e-05
104,22151.2,0.92503,0.50501,1.13365,0.78103,0.6783,0.75172,0.46276,1.5512,0.95611,1.75781,3.49322e-05,3.49322e-05,3.49322e-05
105,22363.5,0.91635,0.50203,1.13088,0.78206,0.67806,0.7517,0.46304,1.55038,0.95549,1.75856,3.1677e-05,3.1677e-05,3.1677e-05
106,22576.2,0.91601,0.50086,1.13052,0.7837,0.67685,0.75173,0.46357,1.5494,0.95506,1.75913,2.86078e-05,2.86078e-05,2.86078e-05
107,22789,0.91011,0.4979,1.12477,0.78157,0.67845,0.75207,0.46395,1.54854,0.95426,1.75939,2.57266e-05,2.57266e-05,2.57266e-05
108,23001.7,0.90623,0.494,1.11899,0.78042,0.67898,0.75184,0.46444,1.54767,0.95396,1.75971,2.30355e-05,2.30355e-05,2.30355e-05
109,23218.5,0.91525,0.4524,1.12986,0.77789,0.68142,0.75172,0.46463,1.54665,0.95391,1.75967,2.05362e-05,2.05362e-05,2.05362e-05
110,23431.2,0.88488,0.43446,1.11578,0.77876,0.68032,0.75162,0.46467,1.54599,0.95476,1.75972,1.82305e-05,1.82305e-05,1.82305e-05
